Heat Event received: {cell_x1=34440, cell_x2=36080, playerName=Dennis Dotterweich, ts=10753421586860942, cell_y1=-8158, cell_y2=-6800, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Nick Gertje, ts=10753384880743031, cell_y1=-29886, cell_y2=-28528, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Nick Gertje, ts=10753385140361600, cell_y1=-29886, cell_y2=-28528, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Roman Hartleb, ts=10753385162534354, cell_y1=-10874, cell_y2=-9516, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=24600, cell_x2=26240, playerName=Leon Krapf, ts=10753385199749336, cell_y1=27150, cell_y2=28508, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Nick Gertje, ts=10753385629957923, cell_y1=-29886, cell_y2=-28528, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=31160, cell_x2=32800, playerName=Luca Ziegler, ts=10753385911813750, cell_y1=10854, cell_y2=12212, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=24600, cell_x2=26240, playerName=Leon Heinze, ts=10753385999132424, cell_y1=-1368, cell_y2=-10, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=13120, cell_x2=14760, playerName=Vale Reitstetter, ts=10753386138224975, cell_y1=8138, cell_y2=9496, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=36080, cell_x2=37720, playerName=Kevin Baer, ts=10753386253804221, cell_y1=5422, cell_y2=6780, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Leo Langhans, ts=10753386502405620, cell_y1=-1368, cell_y2=-10, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=31160, cell_x2=32800, playerName=Luca Ziegler, ts=10753386548686926, cell_y1=10854, cell_y2=12212, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=22960, cell_x2=24600, playerName=Christopher Lee, ts=10753386693241243, cell_y1=10854, cell_y2=12212, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=36080, cell_x2=37720, playerName=Kevin Baer, ts=10753386722020654, cell_y1=5422, cell_y2=6780, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=22960, cell_x2=24600, playerName=Erik Engelhardt, ts=10753387111869589, cell_y1=-6800, cell_y2=-5442, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=22960, cell_x2=24600, playerName=Wili Sommer, ts=10753387225759866, cell_y1=-14948, cell_y2=-13590, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Leo Langhans, ts=10753387359579300, cell_y1=-1368, cell_y2=-10, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=29520, cell_x2=31160, playerName=Sandro Schneider, ts=10753387466034705, cell_y1=-5442, cell_y2=-4084, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Leon Krapf, ts=10753387779686637, cell_y1=27150, cell_y2=28508, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=29520, cell_x2=31160, playerName=Sandro Schneider, ts=10753387838146212, cell_y1=-5442, cell_y2=-4084, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=24600, cell_x2=26240, playerName=Leon Krapf, ts=10753387971107423, cell_y1=27150, cell_y2=28508, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=16400, cell_x2=18040, playerName=Philipp Harlass, ts=10753387991738996, cell_y1=-13590, cell_y2=-12232, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=16400, cell_x2=18040, playerName=Philipp Harlass, ts=10753388034430976, cell_y1=-13590, cell_y2=-12232, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Ben Mueller, ts=10753388496476964, cell_y1=6780, cell_y2=8138, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Roman Hartleb, ts=10753388539762340, cell_y1=-10874, cell_y2=-9516, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=31160, cell_x2=32800, playerName=Niklas Waelzlein, ts=10753388720513021, cell_y1=-14948, cell_y2=-13590, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=21320, cell_x2=22960, playerName=Christopher Lee, ts=10753388833716321, cell_y1=10854, cell_y2=12212, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=22960, cell_x2=24600, playerName=Wili Sommer, ts=10753388888012718, cell_y1=-14948, cell_y2=-13590, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=24600, cell_x2=26240, playerName=Leon Krapf, ts=10753389066550651, cell_y1=27150, cell_y2=28508, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=22960, cell_x2=24600, playerName=Erik Engelhardt, ts=10753389219322321, cell_y1=-5442, cell_y2=-4084, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=24600, cell_x2=26240, playerName=Leon Heinze, ts=10753389317870861, cell_y1=-10, cell_y2=1348, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=13120, cell_x2=14760, playerName=Vale Reitstetter, ts=10753389359016592, cell_y1=6780, cell_y2=8138, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=34440, cell_x2=36080, playerName=Dennis Dotterweich, ts=10753389443048083, cell_y1=-8158, cell_y2=-6800, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Nick Gertje, ts=10753389451698689, cell_y1=-29886, cell_y2=-28528, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Ben Mueller, ts=10753389565230667, cell_y1=6780, cell_y2=8138, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=34440, cell_x2=36080, playerName=Dennis Dotterweich, ts=10753389597162732, cell_y1=-9516, cell_y2=-8158, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Roman Hartleb, ts=10753389802514213, cell_y1=-10874, cell_y2=-9516, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=24600, cell_x2=26240, playerName=Leon Krapf, ts=10753390084717061, cell_y1=27150, cell_y2=28508, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Nick Gertje, ts=10753390205915074, cell_y1=-29886, cell_y2=-28528, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Nick Gertje, ts=10753390249344597, cell_y1=-29886, cell_y2=-28528, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=31160, cell_x2=32800, playerName=Luca Ziegler, ts=10753390823778354, cell_y1=10854, cell_y2=12212, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=24600, cell_x2=26240, playerName=Leon Heinze, ts=10753390961076702, cell_y1=-1368, cell_y2=-10, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=13120, cell_x2=14760, playerName=Vale Reitstetter, ts=10753391066204353, cell_y1=8138, cell_y2=9496, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=36080, cell_x2=37720, playerName=Kevin Baer, ts=10753391149775385, cell_y1=5422, cell_y2=6780, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=31160, cell_x2=32800, playerName=Luca Ziegler, ts=10753391452704771, cell_y1=10854, cell_y2=12212, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Leo Langhans, ts=10753391470432215, cell_y1=-1368, cell_y2=-10, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=36080, cell_x2=37720, playerName=Kevin Baer, ts=10753391612991856, cell_y1=5422, cell_y2=6780, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=22960, cell_x2=24600, playerName=Christopher Lee, ts=10753391637220177, cell_y1=10854, cell_y2=12212, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=22960, cell_x2=24600, playerName=Erik Engelhardt, ts=10753391964838550, cell_y1=-6800, cell_y2=-5442, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=22960, cell_x2=24600, playerName=Wili Sommer, ts=10753392046734678, cell_y1=-14948, cell_y2=-13590, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Leo Langhans, ts=10753392127547574, cell_y1=-1368, cell_y2=-10, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=29520, cell_x2=31160, playerName=Sandro Schneider, ts=10753392133010158, cell_y1=-5442, cell_y2=-4084, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=29520, cell_x2=31160, playerName=Sandro Schneider, ts=10753392702119041, cell_y1=-5442, cell_y2=-4084, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=16400, cell_x2=18040, playerName=Philipp Harlass, ts=10753392818715071, cell_y1=-13590, cell_y2=-12232, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=16400, cell_x2=18040, playerName=Philipp Harlass, ts=10753392866403888, cell_y1=-13590, cell_y2=-12232, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Leon Krapf, ts=10753392901608126, cell_y1=27150, cell_y2=28508, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=24600, cell_x2=26240, playerName=Leon Krapf, ts=10753393099125831, cell_y1=27150, cell_y2=28508, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Roman Hartleb, ts=10753393174727154, cell_y1=-10874, cell_y2=-9516, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Ben Mueller, ts=10753393413465690, cell_y1=6780, cell_y2=8138, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=22960, cell_x2=24600, playerName=Wili Sommer, ts=10753393495989036, cell_y1=-14948, cell_y2=-13590, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=31160, cell_x2=32800, playerName=Niklas Waelzlein, ts=10753393520482763, cell_y1=-13590, cell_y2=-12232, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=21320, cell_x2=22960, playerName=Christopher Lee, ts=10753393577737717, cell_y1=10854, cell_y2=12212, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=24600, cell_x2=26240, playerName=Leon Krapf, ts=10753393946513026, cell_y1=27150, cell_y2=28508, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Nick Gertje, ts=10753394022655478, cell_y1=-29886, cell_y2=-28528, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=34440, cell_x2=36080, playerName=Dennis Dotterweich, ts=10753394035021594, cell_y1=-8158, cell_y2=-6800, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=22960, cell_x2=24600, playerName=Erik Engelhardt, ts=10753394078278666, cell_y1=-5442, cell_y2=-4084, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=13120, cell_x2=14760, playerName=Vale Reitstetter, ts=10753394089982474, cell_y1=6780, cell_y2=8138, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=24600, cell_x2=26240, playerName=Leon Heinze, ts=10753394272836113, cell_y1=-10, cell_y2=1348, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=34440, cell_x2=36080, playerName=Dennis Dotterweich, ts=10753394386155494, cell_y1=-9516, cell_y2=-8158, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Roman Hartleb, ts=10753394442493958, cell_y1=-10874, cell_y2=-9516, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Ben Mueller, ts=10753394488199096, cell_y1=6780, cell_y2=8138, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Nick Gertje, ts=10753394781872074, cell_y1=-29886, cell_y2=-28528, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=24600, cell_x2=26240, playerName=Leon Krapf, ts=10753394969684979, cell_y1=27150, cell_y2=28508, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Nick Gertje, ts=10753395358326983, cell_y1=-29886, cell_y2=-28528, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=31160, cell_x2=32800, playerName=Luca Ziegler, ts=10753395735743063, cell_y1=10854, cell_y2=12212, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=24600, cell_x2=26240, playerName=Leon Heinze, ts=10753395923020467, cell_y1=-1368, cell_y2=-10, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=13120, cell_x2=14760, playerName=Vale Reitstetter, ts=10753395994183356, cell_y1=8138, cell_y2=9496, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=36080, cell_x2=37720, playerName=Kevin Baer, ts=10753396045746708, cell_y1=5422, cell_y2=6780, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=31160, cell_x2=32800, playerName=Luca Ziegler, ts=10753396356723234, cell_y1=10854, cell_y2=12212, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Leo Langhans, ts=10753396438459126, cell_y1=-1368, cell_y2=-10, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=36080, cell_x2=37720, playerName=Kevin Baer, ts=10753396503963534, cell_y1=5422, cell_y2=6780, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=22960, cell_x2=24600, playerName=Christopher Lee, ts=10753396581198738, cell_y1=10854, cell_y2=12212, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=29520, cell_x2=31160, playerName=Sandro Schneider, ts=10753396799986729, cell_y1=-5442, cell_y2=-4084, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=22960, cell_x2=24600, playerName=Erik Engelhardt, ts=10753396817806359, cell_y1=-6800, cell_y2=-5442, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=22960, cell_x2=24600, playerName=Wili Sommer, ts=10753396867708668, cell_y1=-14948, cell_y2=-13590, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Leo Langhans, ts=10753396895515949, cell_y1=-1368, cell_y2=-10, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=29520, cell_x2=31160, playerName=Sandro Schneider, ts=10753397566092703, cell_y1=-5442, cell_y2=-4084, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=16400, cell_x2=18040, playerName=Philipp Harlass, ts=10753397645691844, cell_y1=-13590, cell_y2=-12232, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=16400, cell_x2=18040, playerName=Philipp Harlass, ts=10753397698376845, cell_y1=-13590, cell_y2=-12232, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Roman Hartleb, ts=10753397809692653, cell_y1=-10874, cell_y2=-9516, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Leon Krapf, ts=10753398023529247, cell_y1=27150, cell_y2=28508, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=22960, cell_x2=24600, playerName=Wili Sommer, ts=10753398103965031, cell_y1=-14948, cell_y2=-13590, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=24600, cell_x2=26240, playerName=Leon Krapf, ts=10753398227143647, cell_y1=27150, cell_y2=28508, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=31160, cell_x2=32800, playerName=Niklas Waelzlein, ts=10753398320453806, cell_y1=-13590, cell_y2=-12232, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=21320, cell_x2=22960, playerName=Christopher Lee, ts=10753398321759977, cell_y1=10854, cell_y2=12212, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Ben Mueller, ts=10753398330453645, cell_y1=6780, cell_y2=8138, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Nick Gertje, ts=10753398593611992, cell_y1=-29886, cell_y2=-28528, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=34440, cell_x2=36080, playerName=Dennis Dotterweich, ts=10753398626994704, cell_y1=-8158, cell_y2=-6800, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=13120, cell_x2=14760, playerName=Vale Reitstetter, ts=10753398820948778, cell_y1=6780, cell_y2=8138, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=24600, cell_x2=26240, playerName=Leon Krapf, ts=10753398826475468, cell_y1=27150, cell_y2=28508, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=22960, cell_x2=24600, playerName=Erik Engelhardt, ts=10753398937233684, cell_y1=-5442, cell_y2=-4084, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Roman Hartleb, ts=10753399082473481, cell_y1=-10874, cell_y2=-9516, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=34440, cell_x2=36080, playerName=Dennis Dotterweich, ts=10753399175148721, cell_y1=-9516, cell_y2=-8158, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=24600, cell_x2=26240, playerName=Leon Heinze, ts=10753399227801494, cell_y1=-10, cell_y2=1348, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Nick Gertje, ts=10753399357829165, cell_y1=-29886, cell_y2=-28528, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Ben Mueller, ts=10753399411167911, cell_y1=6780, cell_y2=8138, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=24600, cell_x2=26240, playerName=Leon Krapf, ts=10753399854652912, cell_y1=27150, cell_y2=28508, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Nick Gertje, ts=10753400467310541, cell_y1=-29886, cell_y2=-28528, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=31160, cell_x2=32800, playerName=Luca Ziegler, ts=10753400647707789, cell_y1=10854, cell_y2=12212, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=24600, cell_x2=26240, playerName=Leon Heinze, ts=10753400884965180, cell_y1=-1368, cell_y2=-10, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=13120, cell_x2=14760, playerName=Vale Reitstetter, ts=10753400922161800, cell_y1=8138, cell_y2=9496, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=36080, cell_x2=37720, playerName=Kevin Baer, ts=10753400941718096, cell_y1=5422, cell_y2=6780, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=31160, cell_x2=32800, playerName=Luca Ziegler, ts=10753401260742719, cell_y1=10854, cell_y2=12212, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=36080, cell_x2=37720, playerName=Kevin Baer, ts=10753401394934242, cell_y1=5422, cell_y2=6780, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Leo Langhans, ts=10753401406486148, cell_y1=-1368, cell_y2=-10, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=29520, cell_x2=31160, playerName=Sandro Schneider, ts=10753401466964254, cell_y1=-5442, cell_y2=-4084, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=22960, cell_x2=24600, playerName=Christopher Lee, ts=10753401525176831, cell_y1=10854, cell_y2=12212, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Leo Langhans, ts=10753401663484605, cell_y1=-1368, cell_y2=-10, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=22960, cell_x2=24600, playerName=Erik Engelhardt, ts=10753401670774802, cell_y1=-6800, cell_y2=-5442, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=22960, cell_x2=24600, playerName=Wili Sommer, ts=10753401688683137, cell_y1=-14948, cell_y2=-13590, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=29520, cell_x2=31160, playerName=Sandro Schneider, ts=10753402430065891, cell_y1=-5442, cell_y2=-4084, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Roman Hartleb, ts=10753402444656534, cell_y1=-10874, cell_y2=-9516, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=16400, cell_x2=18040, playerName=Philipp Harlass, ts=10753402472667669, cell_y1=-13590, cell_y2=-12232, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=16400, cell_x2=18040, playerName=Philipp Harlass, ts=10753402530349819, cell_y1=-13590, cell_y2=-12232, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=22960, cell_x2=24600, playerName=Wili Sommer, ts=10753402711941644, cell_y1=-14948, cell_y2=-13590, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=21320, cell_x2=22960, playerName=Christopher Lee, ts=10753403065781601, cell_y1=10854, cell_y2=12212, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=31160, cell_x2=32800, playerName=Niklas Waelzlein, ts=10753403120422542, cell_y1=-13590, cell_y2=-12232, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=24600, cell_x2=26240, playerName=Leon Krapf, ts=10753403145450648, cell_y1=27150, cell_y2=28508, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Nick Gertje, ts=10753403164568902, cell_y1=-29886, cell_y2=-28528, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=34440, cell_x2=36080, playerName=Dennis Dotterweich, ts=10753403218968194, cell_y1=-8158, cell_y2=-6800, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Ben Mueller, ts=10753403247443426, cell_y1=6780, cell_y2=8138, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=24600, cell_x2=26240, playerName=Leon Krapf, ts=10753403355161649, cell_y1=27150, cell_y2=28508, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=13120, cell_x2=14760, playerName=Vale Reitstetter, ts=10753403551914967, cell_y1=6780, cell_y2=8138, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=24600, cell_x2=26240, playerName=Leon Krapf, ts=10753403706437911, cell_y1=27150, cell_y2=28508, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Roman Hartleb, ts=10753403722453197, cell_y1=-10874, cell_y2=-9516, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=22960, cell_x2=24600, playerName=Erik Engelhardt, ts=10753403796189829, cell_y1=-5442, cell_y2=-4084, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Nick Gertje, ts=10753403933786552, cell_y1=-29886, cell_y2=-28528, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=34440, cell_x2=36080, playerName=Dennis Dotterweich, ts=10753403964142641, cell_y1=-9516, cell_y2=-8158, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=24600, cell_x2=26240, playerName=Leon Heinze, ts=10753404182766450, cell_y1=-10, cell_y2=1348, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Ben Mueller, ts=10753404334136399, cell_y1=6780, cell_y2=8138, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=24600, cell_x2=26240, playerName=Leon Krapf, ts=10753404739620655, cell_y1=27150, cell_y2=28508, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=31160, cell_x2=32800, playerName=Luca Ziegler, ts=10753405559672701, cell_y1=10854, cell_y2=12212, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Nick Gertje, ts=10753405576293245, cell_y1=-29886, cell_y2=-28528, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=36080, cell_x2=37720, playerName=Kevin Baer, ts=10753405837689911, cell_y1=5422, cell_y2=6780, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=24600, cell_x2=26240, playerName=Leon Heinze, ts=10753405846909374, cell_y1=-1368, cell_y2=-10, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=13120, cell_x2=14760, playerName=Vale Reitstetter, ts=10753405850141581, cell_y1=8138, cell_y2=9496, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=29520, cell_x2=31160, playerName=Sandro Schneider, ts=10753406133941022, cell_y1=-5442, cell_y2=-4084, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=31160, cell_x2=32800, playerName=Luca Ziegler, ts=10753406164759883, cell_y1=10854, cell_y2=12212, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=36080, cell_x2=37720, playerName=Kevin Baer, ts=10753406285905067, cell_y1=5422, cell_y2=6780, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Leo Langhans, ts=10753406374511862, cell_y1=-1368, cell_y2=-10, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Leo Langhans, ts=10753406431453048, cell_y1=-1368, cell_y2=-10, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=22960, cell_x2=24600, playerName=Christopher Lee, ts=10753406469156245, cell_y1=10854, cell_y2=12212, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=22960, cell_x2=24600, playerName=Wili Sommer, ts=10753406509658001, cell_y1=-14948, cell_y2=-13590, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=22960, cell_x2=24600, playerName=Erik Engelhardt, ts=10753406523743992, cell_y1=-6800, cell_y2=-5442, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Roman Hartleb, ts=10753407079621403, cell_y1=-10874, cell_y2=-9516, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=29520, cell_x2=31160, playerName=Sandro Schneider, ts=10753407294037846, cell_y1=-5442, cell_y2=-4084, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=16400, cell_x2=18040, playerName=Philipp Harlass, ts=10753407299644400, cell_y1=-13590, cell_y2=-12232, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=22960, cell_x2=24600, playerName=Wili Sommer, ts=10753407319918153, cell_y1=-14948, cell_y2=-13590, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=16400, cell_x2=18040, playerName=Philipp Harlass, ts=10753407362323339, cell_y1=-13590, cell_y2=-12232, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=26240, cell_x2=27880, playerName=Nick Gertje, ts=10753407735525077, cell_y1=-29886, cell_y2=-28528, timeInGame=0.0, resolution=32X50}
Heat Event received: {cell_x1=21320, cell_x2=22960, playerName=Christopher Lee, ts=10753407809803523, cell_y1=10854, cell_y2=12212, timeInGame=0.0, resolution=32X50}
